date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:59	36105/36105	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2026%20Jul%202019%2020:21:57%20GMT	http://wpnick.rfslocal.site/	./index/index.html	(from )
16:22:05	0/0	U--M--	200	updated ('OK')	text/html	date:Fri,%2026%20Jul%202019%2020:22:04%20GMT	http://wpnick.rfslocal.site/feed/	./feed/index/index.html	(from http://wpnick.rfslocal.site/)
16:22:05	0/0	U--M--	200	updated ('OK')	text/html	date:Fri,%2026%20Jul%202019%2020:22:04%20GMT	http://wpnick.rfslocal.site/comments/feed/	./comments/feed/index/index.html	(from http://wpnick.rfslocal.site/)
16:22:07	284/284	---M--	200	added ('OK')	text/calendar	date:Fri,%2026%20Jul%202019%2020:22:04%20GMT	http://wpnick.rfslocal.site/events/?ical=1	./events/index/index.html	(from http://wpnick.rfslocal.site/)
16:22:07	97184/97184	---M-Z	200	added ('OK')	application/javascript	etag:%2217ba0-564e8a2331400-gzip%22	http://wpnick.rfslocal.site/wp-includes/js/jquery/jquery.js?ver=1.12.4	./wp-includes/js/jquery/jquery/index.js	(from http://wpnick.rfslocal.site/)
16:22:07	271/271	U--M-Z	200	updated ('OK')	text/css	etag:%2210f-52a2170e69400-gzip%22	http://wpnick.rfslocal.site/wp-content/plugins/add-link-to-facebook/add-link-to-facebook.css?ver=4.9.10	./wp-content/plugins/add-link-to-facebook/add-link-to-facebook/index.css	(from http://wpnick.rfslocal.site/)
16:22:07	31000/31000	U--M-Z	200	updated ('OK')	text/css	etag:%227918-5653919909400-gzip%22	http://wpnick.rfslocal.site/wp-content/plugins/template-events-calendar/css/font-awesome-4.7.0/css/font-awesome.min.css	./wp-content/plugins/template-events-calendar/css/font-awesome-4.7.0/css/font-awesome.min/index.css	(from http://wpnick.rfslocal.site/)
16:22:07	50384/50384	U--M-Z	200	updated ('OK')	text/css	etag:%22c4d0-5659daec57400-gzip%22	http://wpnick.rfslocal.site/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=4.9.10	./wp-content/plugins/ultimate-social-media-icons/css/sfsi-style/index.css	(from http://wpnick.rfslocal.site/)
16:22:07	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-564e8a2331400-gzip%22	http://wpnick.rfslocal.site/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	./wp-includes/js/jquery/jquery-migrate.min/index.js	(from http://wpnick.rfslocal.site/)
16:22:09	10909/10909	U--M-Z	200	updated ('OK')	text/css	etag:%222a9d-564e8a2331400-gzip%22	http://wpnick.rfslocal.site/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min.css?ver=2.4.0	./wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min/index.css	(from http://wpnick.rfslocal.site/)
16:22:09	31089/31089	U--M-Z	200	updated ('OK')	text/css	etag:%227971-564e8a2331400-gzip%22	http://wpnick.rfslocal.site/wp-content/themes/oceanwp/assets/css/third/font-awesome.min.css?ver=4.7.0	./wp-content/themes/oceanwp/assets/css/third/font-awesome.min/index.css	(from http://wpnick.rfslocal.site/)
16:22:09	5213/5213	U--M-Z	200	updated ('OK')	text/css	etag:%22145d-564e8a2331400-gzip%22	http://wpnick.rfslocal.site/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min.css?ver=1.0.0	./wp-content/themes/oceanwp/assets/css/third/magnific-popup.min/index.css	(from http://wpnick.rfslocal.site/)
16:22:09	154399/154399	U--M-Z	200	updated ('OK')	text/css	etag:%2225b1f-564e8a2331400-gzip%22	http://wpnick.rfslocal.site/wp-content/themes/oceanwp/assets/css/style.min.css?ver=1.4.16	./wp-content/themes/oceanwp/assets/css/style.min/index.css	(from http://wpnick.rfslocal.site/)
16:22:11	854/854	---M-Z	200	added ('OK')	text/xml	date:Fri,%2026%20Jul%202019%2020:22:08%20GMT	http://wpnick.rfslocal.site/xmlrpc.php?rsd	./xmlrpc/index.php	(from http://wpnick.rfslocal.site/)
16:22:11	10431/10431	U--M-Z	200	updated ('OK')	text/css	etag:%2228bf-565ae9eb61040-gzip%22	http://wpnick.rfslocal.site/wp-content/uploads/titan-framework-ect-css.css?ver=4.9.10	./wp-content/uploads/titan-framework-ect-css/index.css	(from http://wpnick.rfslocal.site/)
16:22:11	6084/6084	U--M-Z	200	updated ('OK')	text/css	etag:%2217c4-566a332b55400-gzip%22	http://wpnick.rfslocal.site/wp-content/plugins/newsletter/subscription/style.css?ver=5.2.6	./wp-content/plugins/newsletter/subscription/style/index.css	(from http://wpnick.rfslocal.site/)
16:22:11	8897/8897	U--M-Z	200	updated ('OK')	text/css	etag:%2222c1-565da084b9400-gzip%22	http://wpnick.rfslocal.site/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1.9.6	./wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min/index.css	(from http://wpnick.rfslocal.site/)
16:22:11	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-51e7f59cf7000-gzip%22	http://wpnick.rfslocal.site/wp-includes/wlwmanifest.xml	./wp-includes/wlwmanifest/index.xml	(from http://wpnick.rfslocal.site/)
16:22:12	2217/2217	---M--	200	added ('OK')	application/json	date:Fri,%2026%20Jul%202019%2020:22:11%20GMT	http://wpnick.rfslocal.site/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwpnick.rfslocal.site%2F	./wp-json/oembed/1.0/embed/index.json	(from http://wpnick.rfslocal.site/)
16:22:13	4604/4604	U--M-Z	200	updated ('OK')	text/css	etag:%2211fc-58ca42777fc0c-gzip%22	http://wpnick.rfslocal.site/wp-content/uploads/elementor/css/global.css?ver=1562011548	./wp-content/uploads/elementor/css/global/index.css	(from http://wpnick.rfslocal.site/)
16:22:13	18468/18468	U--M-Z	200	updated ('OK')	text/css	etag:%224824-565da084b9400-gzip%22	http://wpnick.rfslocal.site/wp-content/plugins/elementor/assets/css/animations.min.css?ver=1.9.6	./wp-content/plugins/elementor/assets/css/animations.min/index.css	(from http://wpnick.rfslocal.site/)
16:22:13	22126/22126	U--M-Z	200	updated ('OK')	text/css	etag:%22566e-58ca4277b097c-gzip%22	http://wpnick.rfslocal.site/wp-content/uploads/elementor/css/post-823.css?ver=1562011548	./wp-content/uploads/elementor/css/post-823/index.css	(from http://wpnick.rfslocal.site/)
16:22:13	75498/75498	U--M-Z	200	updated ('OK')	text/css	etag:%22126ea-565da084b9400-gzip%22	http://wpnick.rfslocal.site/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=1.9.6	./wp-content/plugins/elementor/assets/css/frontend.min/index.css	(from http://wpnick.rfslocal.site/)
16:22:14	3945/3945	---M--	200	added ('OK')	image/jpeg	etag:%22f69-564e8a2331400%22	http://wpnick.rfslocal.site/wp-content/uploads/2018/02/cropped-219047_10150185513297486_4128736_o-1-32x32.jpg	./wp-content/uploads/2018/02/cropped-219047_10150185513297486_4128736_o-1-32x32/index.jpg	(from http://wpnick.rfslocal.site/)
16:22:15	15840/15840	---M--	200	added ('OK')	image/jpeg	etag:%223de0-564e8a2331400%22	http://wpnick.rfslocal.site/wp-content/uploads/2018/02/cropped-219047_10150185513297486_4128736_o-1-192x192.jpg	./wp-content/uploads/2018/02/cropped-219047_10150185513297486_4128736_o-1-192x192/index.jpg	(from http://wpnick.rfslocal.site/)
16:22:16	29723/29723	U--M-Z	200	updated ('OK')	text/css	etag:%22741b-566a332b55400-gzip%22	http://wpnick.rfslocal.site/wp-content/plugins/ocean-extra/assets/css/widgets.css?ver=4.9.10	./wp-content/plugins/ocean-extra/assets/css/widgets/index.css	(from http://wpnick.rfslocal.site/)
16:22:17	2316/2316	U--M-Z	200	updated ('OK')	text/xml	date:Fri,%2026%20Jul%202019%2020:22:16%20GMT	http://wpnick.rfslocal.site/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwpnick.rfslocal.site%2F&format=xml	./wp-json/oembed/1.0/embed/index.html	(from http://wpnick.rfslocal.site/)
16:22:18	15975/15975	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Jul%202019%2020:22:16%20GMT	http://wpnick.rfslocal.site/wp-content/plugins/G4B_gallery/G4B_gallery.css	./wp-content/plugins/G4B_gallery/G4B_gallery/index.html	(from http://wpnick.rfslocal.site/)
16:22:20	14832/14832	---M--	200	added ('OK')	image/jpeg	etag:%2239f0-564e8a2331400%22	http://wpnick.rfslocal.site/wp-content/uploads/2018/02/cropped-219047_10150185513297486_4128736_o-1-180x180.jpg	./wp-content/uploads/2018/02/cropped-219047_10150185513297486_4128736_o-1-180x180/index.jpg	(from http://wpnick.rfslocal.site/)
16:22:23	26457/26457	---MC-	200	added ('OK')	application/json	date:Fri,%2026%20Jul%202019%2020:22:17%20GMT	http://wpnick.rfslocal.site/wp-json/tribe/events/v1/	./wp-json/tribe/events/v1/index/index.html	(from http://wpnick.rfslocal.site/)
16:22:24	18569/18569	---M--	200	added ('OK')	image/jpeg	etag:%224889-564e8a2331400%22	http://wpnick.rfslocal.site/wp-content/uploads/2018/02/v90LrlR__400x400.jpg	./wp-content/uploads/2018/02/v90LrlR__400x400/index.jpg	(from http://wpnick.rfslocal.site/)
